date,sales,region,product_category,quantity,price
2024-01-01,15000,North,Electronics,50,300
2024-01-02,12000,South,Clothing,80,150
2024-01-03,18000,East,Electronics,60,300
2024-01-04,9000,West,Food,100,90
2024-01-05,22000,North,Electronics,70,314
2024-01-06,11000,South,Clothing,75,147
2024-01-07,19000,East,Electronics,65,292
2024-01-08,8500,West,Food,95,89
2024-01-09,25000,North,Electronics,80,312
2024-01-10,13000,South,Clothing,85,153
2024-01-11,20000,East,Electronics,70,286
2024-01-12,9500,West,Food,105,90
2024-01-13,17000,North,Electronics,55,309
2024-01-14,14000,South,Clothing,90,156
2024-01-15,21000,East,Electronics,75,280
2024-01-16,10000,West,Food,110,91
2024-01-17,23000,North,Electronics,85,271
2024-01-18,12500,South,Clothing,88,142
2024-01-19,19500,East,Electronics,68,287
2024-01-20,9200,West,Food,102,90
